"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3","X13.3","X14.3","X15.3","X1.4","X2.4","X3.4","X4.4","X5.4","X6.4","X7.4","X8.4","X9.4","X10.4","X11.4","X12.4","X13.4","X14.4","X15.4"
"1",0.268122436288193,0,0,0,0,0,0.261398160374247,0,0,0,0,0,0,0,0,0.246697415637118,0,0,0,0,0,0.253918585832954,0,0,0,0,0,0,0,0,0.246318646882961,0,0,0,0,0,0.274826444761687,0,0,0,0,0,0,0,0,0.257739930758616,0,0,0,0,0,0.192680961391882,0,0,0,0,0,0,0,0,0.21143439574007,0,0,0,0,0,0.243603552878472,0,0,0,0,0,0,0,0
"2",0,0.280275882443228,0,0,0,0,0,0,0,0,0,0,0,0,0.319112028883655,0,0.226239535319291,0,0,0,0,0,0,0,0,0,0,0,0,0.271365866647086,0,0.258417223881292,0,0,0,0,0,0,0,0,0,0,0,0,0.242147703487067,0,0.317629068586428,0,0,0,0,0,0,0,0,0,0,0,0,0.298973997387467,0,0.215519177385125,0,0,0,0,0,0,0,0,0,0,0,0,0.238640087381048
"3",0,0,0.273138583015519,0.037440243247407,0,0,0,0,0.486992789224465,-0.0365002554642372,0,0,0.131472772387955,0,0,0,0,0.293508209838647,0.0995292118731313,0,0,0,0,0,0,0,0,-0.513667565621035,0,0,0,0,0.291961023794407,-0.489910601885256,0,0,0,0,-0.0358023583831727,0,0,0,0.0550849759726414,0,0,0,0,0.240446577209386,0.0352586535112812,0,0,0,0,0,-0.0549103992104449,0,0,0,0,0,0,0,0.190657393961778,-0.486548268372925,0,0,0,0,-0.121313556724369,-0.551237282040411,0,0,0,-0.0222098592463994,0
"4",0,0.245429679574001,0,0.203184268812084,0,0,0,0,0,-0.0339550057606618,-0.0337101564332047,0,0,-0.0227897852867274,0,-0.0232777074732302,0.256511065988095,0,0.238436318759566,0,0,0,0,0,0,-0.040546835039796,0,0,-0.0258854326656925,0,0,0.210337544781518,0,0.304426321767069,0,0,0,0,0,0,-0.380484298150376,0,0,-0.0225840803233462,0,0,0.215519735397676,0,0.339511113078003,0,0,0,0,0,-0.428954820852661,0,0,0,0.0257707718395854,0,-0.488617652655495,0.178107065089212,0,0.275488146284957,0,0,0,0,0,0.0220478971938003,-0.0202430952227521,0,0,0,0
"5",0,0.0373189755459303,0,0,0.293215080052656,0.2047648460762,0,0,0,0.505722231019876,0,0,0,0,0,0,-0.0525674682261936,0,0,0.246632892220827,0.271919734093743,0,0,0,0,0,0,0,0,0,0,-0.0427607808924501,0,0,0.205568408970628,0.200501053089447,0,0,0,0,0,0,0,0,0,0,0.0681536461868727,0,0,0.278582332835793,0.187263014646281,0,0,0,0,0,0,-0.545598435511468,0,0,0,-0.416394782467661,0,0,0.258540460394925,0.219640466730685,0,0,0,0,0,0,0,0,0
"6",0,0,-0.0202308693606918,0.0247412128047558,0,0.136117305074988,0,0,0,0,0,0.192418256451531,0,0,0,0,0,-0.519999122742959,-0.0245478567641369,0,0.242266686602566,0,0,0,0,0,0.263627864449379,0,0,0,0,0,-0.0416754539601605,0,0,0.306845584294394,0,0,0,0,0,0.220913947064657,0,0,0,0,0,-0.0266169964998622,0,0,0.210344649306634,0,0,0,0,0,0.215498658928787,0,0,0,0,0,-0.590166939816721,0,0,0.261307348051097,0,0,0,0,0,0.223649361198231,0,0,0
"7",0.260902195143857,0,0,-0.0996763117043034,0,0,0.222298200981855,0.0525239954702396,0.0495135284486568,0,0,0,0,0,0,0.263467254741392,0,0,-0.0507524712429389,0,0,0.234109805738872,-0.38031772276975,0.0581998498294319,0,0,0,0,0,0,0.292344933260871,0,0,0,0,0,0.224342254062735,0,-0.40463574892044,0,0,0,0,0,0,0.311212889408461,0,0,0.0294491589807129,0,0,0.241803777954393,0,-0.396228580866995,0,0,0,0,0,0,0.244889090468821,0,0,-0.577872615517918,0,0,0.253799063734097,-0.0310430414597138,-0.0654633870211231,0,0,0,0,0,0
"8",0,0,0,0,0.485799367956621,0,0,0.237605995893728,0,0.0408755531654847,0,0,0,0,0,0,0,0,0,0,0,0,0.0857840116435557,0,0.0683700999570334,0,0,0,0.0226921208699697,0,0,0,0,0,0,0,0,0.255308466644677,0,-0.510063646968443,0,0,0,0,0,0,0,0,0,0,0,0,0.242842094169083,0,-0.494160831706836,0,0,0,0,0,0,0,0,0,-0.027729562693127,0,0,0.303194164786424,0,0.020883196064296,0,0,0,0,0
"9",0,0,0,0.379741319318369,0,0,0,0,0.172443572899124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206818018579995,0,0,0,0,0,0,0,0,0,-0.0377352501870014,0,0,0,0,0.153139617236652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243538298019647,0,0,0,0,0,0,0,0,0,-0.0205492683087184,0,0,0,0,0.159088138229889,0,0,0,0,0,0
"10",0.0251648631398506,0,0,0,0,0,0.249317701066396,0,0,0.24070411221399,0,0,0.28442051475836,0,0,0,0,0,0,0,0,0.190474164584837,0,0,0.208753908966502,0,0,0.203167952018622,0,0,-0.374589523411986,0,0,0,0,0,0.180301986299799,0,0,0.248637972608411,0,0,0.250363142108055,0,0,0.0285958466960862,0,0,0,0,0,0.215710901624947,0,0,0.261102359012032,0,0,0.251875493820385,0,0,-0.0426764839691174,0,0,0,0,0,0.247782333427875,0,0,0.214755645110477,0,0,0.282016326774352,0,0
