"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X16.2","X17.2","X18.2","X19.2","X20.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3","X13.3","X14.3","X15.3","X16.3","X17.3","X18.3","X19.3","X20.3","X1.4","X2.4","X3.4","X4.4","X5.4","X6.4","X7.4","X8.4","X9.4","X10.4","X11.4","X12.4","X13.4","X14.4","X15.4","X16.4","X17.4","X18.4","X19.4","X20.4"
"1",0.1136407986942,0,0,-0.28997628479096,0.384376608711646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.466862228664466,0,0,-0.278425167565196,0.242169543455807,0,0,0,0,0,0,0,0,0,0.0337772939490206,0.214711126800869,0,0,0,0,0.512642174212623,0,0,-0.22774409740133,-0.377085528238872,0,0,0,0,0,0,0,0,0,0,0.0621078032157383,0,0,0,0,-0.205419331272524,0,0,-0.277013740546197,0.289364235475937,0,0,0,0,0,0,0,0,0,0.0291117164933011,-0.0471369232594511,0,0,0,0,-0.425133212302625,0,0,0.340063219807378,0.322046269638721,0,0,0,0,0,0,0,0,0,-0.0447497849526409,0,0,0,0,0
"2",0.278627767935646,0.316463681941936,0,-0.360598651642092,0,0,0,0.0448824677181512,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210077969354538,0,0,-0.354064587287612,0,0,0,0,0,0,0,0,0,0,0,0.0476788931530348,0,0,0,0,-0.0773078302823093,-0.105193125425817,0,-0.239337929782977,0,0,0,0.0491786653637965,0,0,0,0,0,0,0,0.119596638978063,0,0,0,0,0.0436381921485355,0.275554267849883,0,-0.234955877107089,0,0,0,-0.17323462305981,0,0,0,0,0,0,0,0,0,0,0,0,-0.103071875545305,0.212618545643071,0,-0.292014199760595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.123029958316694,0,0.204018164227502,0,0,-0.336042299156448,0,0,-0.245866683883958,0,-0.0279402523514532,0,0,0,0,0,-0.250155502011568,0,0,0,0.370150149059494,0,-0.305117169654483,0,0,-0.361787773325723,0,0,0.31999786763691,0,0,0,0,0,0,0,-0.327449060175258,0,0,0,0.0514035629063648,0,0.343647688102193,0,0,0.250426138593993,0,0,-0.260089674461324,0,0,0,0,0,0,0,-0.219470321225152,0,0,0,0.624419143308702,0,-0.25036876950005,0,0,-0.37487827891277,0,0,-0.200694291156299,0,0,0,0,0,0,0,-0.304795850508433,0,0,0,-0.550947681952438,0,0.349642714038639,0,0,0.24030166138014,0,0,0.237304672060242,0,0,0,0,0,0,0,-0.262714194410729,0
"4",0,0,0,-0.264154169448966,-0.231760857969647,0,0,0,0,-0.0315074674919341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323390137899893,0,0,0,0,0.182446813818677,0,0,0,0,0,0,0,0,0.0239268606200866,0,0,0,0,0.21301262770024,-0.280936955404164,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217673256560751,0,0,0,0,0.194916717998527,0.296157842359678,0,0,0,0,0,0,0,0,0,0.0745763513167282,0,0,0,-0.0583016745271653,0,0,0,0,0.197769889528339,0.353958547271932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229650569866763,0
"5",0.029619476485406,-0.0917886633036731,0,0.334791331355776,0.443300260063464,0,0.0249115634090788,0,0,0,0,0,0,0,0.38868050545293,0,-0.321082455617018,0,0,0,0,-0.0608123647350874,0,-0.442640209752887,-0.0981940961689329,0,0.035132528195313,0,0,0,0,0,0,0,-0.356386459133651,0,0.344223640755593,0,0,0,0,0,0,0.329757317524,0.107146862889916,0,-0.122760148378816,0,0,0,0,0,0,0,-0.243493888366701,0,-0.273692873246467,0,0,0,0,0.0334432270535024,0,0.352400987072428,-0.382977414068122,0,-0.0421238456682542,0,0,0,0,0,0,0,-0.490558282862826,0,0.381912775039986,0,0,0,0,0.0883978305681008,0,0.444134969040011,-0.0365292365418844,0,0,0,0,0,0,0,0,0,-0.185283591723252,0,-0.18242792867539,0,0,0
"6",0,0,0,0,-0.321864414859289,-0.138725859166061,0,0,0,0,0,0,0.393920183148929,0,0,0.411665051287858,0.0295431178446456,-0.435673415785605,0,0,0,0,0,0,0.295092322713097,-0.577156652331232,0,0,0,0,0,0,0.404058605296362,0,0,0.370539485013908,0,0.268865322669235,0,0,0,0,0,0,0.289636751350525,0.204075524936814,0,0,0,0,0,0,-0.290121687213773,0,0,-0.17917897679689,0.0222345472479444,-0.284098868718407,0,0,0,0,0,0,-0.307968733865007,0.287742999963231,0,0,0,0,0,0,0.325180649037621,0,0,0.290990024483799,-0.0263529298600959,-0.192264238272995,0,0,0,0,0,0,0.270613534412834,0.445559554146727,0,0,0,0,0,0,0.357631259783553,0,0,0.304585413614759,-0.274179100810649,-0.373049468666671,0,0
"7",0,0,0,0,-0.333020531585029,0,-0.299245179575769,0,0.273226916963869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342370854326547,0,0.469874678138995,0,0.322233525096728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317336711300219,0,-0.0367108541739316,0,0.181377387000455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307329732739483,0,-0.44259432213106,0,0.231272283966719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203707614456515,0,-0.425610182881555,0,0.267856318946402,0,0,0,0,0,-0.0258864493028227,0,0,0,0,0
"8",0.244801686854609,0,0,-0.0823180394804477,0,0,0,-0.348490741215924,-0.147637961316116,0,0,0,-0.0524779106644063,0,0,0,0,0,0,0,-0.303973965711552,0,0,0,0,0,0,0.223163335429277,0.271936842798558,0,0,0,0.0510366813880382,0,0,0,0,0,0,0,-0.271609820972732,0,0,0,0,0,0,0.292292099058461,0.22824162674212,0,0,0,0,0,0,0,0,0,0,0,0.368774067259981,0,0,0,0,0,0,-0.224052024015366,0.304680051463078,0,0,0,0,0,0,0,0,0,0,0,0.249705582878742,0,0,-0.0397852834248859,0,0,0,0.381834090101165,-0.254032711255173,0,0,0,0.0277533180752872,0,0,0,0,0,0,0
"9",0,0.187698657266062,0,0,0,0,0,0,-0.0631555313117111,0,0.345872529126082,0,0,0,0,0,0.038231951312891,0,0,0,0,0.156337846446272,0,0,0,0,0,0,0.183849987074945,0,-0.297281476573407,0,0,0,-0.0214893827563864,0,-0.0344493445868729,0,0,0,0,-0.224869552017757,0,0,0,0,0,0,0.3517885211435,0,0.351481108526292,0,0,0,0.0366828243622102,0,-0.106587395755626,0,0,0,0,0.26845528458052,0,0,0,0,0,0,0.356303279087296,0,0.173447581840071,0,0,0,0,0,-0.0553412071176931,0,0,0,0,-0.262339008819206,0,0,0.0215067422557187,0,0,0,0.0557239543879436,0,-0.433455719911774,0,0,0,0.0294896944785254,0,-0.0479296231034573,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0482547356003582,0,0,-0.0326732837520361,0,0.18073796473691,0.501028204049755,0,0.0237406352127778,0,0,0,0,0,0,0,0,0,0,0,-0.0631830040527437,0,0,0.0291485652475648,0,0.288214567379851,0.284304151748679,0,0,-0.0245553221788154,0,0,0,0,0,0,0,0,0,0,-0.389462607300032,0,0,0,0,0.203448967716085,-0.359345128135287,0,-0.0224438369262936,0,0,0,0,0,0,0,0,0,0,0,0.440637392549091,0,0,-0.213707460269327,0.0307454085110843,-0.308230735877805,0.511683576367003,0,0.0208345088914936,0,0,0,0,0,0,0,0,0,0,0,-0.167330613942167,0,0,0.0361994160237101,0,0.364580567462082,0.298757107582696,0,0,0,0
