"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X16.2","X17.2","X18.2","X19.2","X20.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3","X13.3","X14.3","X15.3","X16.3","X17.3","X18.3","X19.3","X20.3","X1.4","X2.4","X3.4","X4.4","X5.4","X6.4","X7.4","X8.4","X9.4","X10.4","X11.4","X12.4","X13.4","X14.4","X15.4","X16.4","X17.4","X18.4","X19.4","X20.4"
"1",0.287909546638609,0,0,0,0,0,0,0,0,0,0,0,-0.296893709132429,0,0,0.246865655173555,0,0,0,0,0.21903776513412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1511708655549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38637224255255,0,0,0,0,0,0,0,0,0,0,0,0.0204146468189443,0,0,0,0,0,0,0,-0.304211012431234,0,0,0,0,0,0,0,0,0,0,0,0.0571265033897389,0,0,0.053084344905389,0,0,0,0
"2",0,0.535891489730066,-0.263405998070911,0,-0.0593238408693386,-0.221936801750765,0,0,0,0,0,0,0,0,0.0401508385445687,0,-0.292215925264826,0,0,0,-0.174091739178833,0.147535748025855,-0.0252157628879907,0,-0.0900139053268902,-0.368529515948948,0,0,0,0,0,-0.216863165270869,0,0,-0.409996736503643,0.0830086082937954,-0.316793561005672,0,0,0,0.041728890519943,0.229917525634675,-0.0688502570315047,0.0284673703942395,-0.0271250640772575,-0.241981041485556,0,0,0,0,0,0,0,0,-0.304356434257332,0.305995309046993,-0.424034304954514,0,0,0,0.0257915000394769,0.573891249595166,-0.0418211549493702,0,0.075047064754338,-0.320843604432268,0,0,0,0,0,0.0218814513750707,0,0,0.0470486687968556,0,0.298782304319195,0,0,0,0.0348252068325743,0.58019917247429,0.0785839885524362,0,0.330123562147533,-0.333959947198821,0,0,0,0,0,-0.103461354259288,0,0,0.344103981020726,0,0.26361087076459,0,0,0
"3",0,0,0.27612921540615,0.32129308296076,0,0,0,0,-0.373841659831756,0,0.318217453257406,0,0,0,0,-0.0460931194249696,0.0294113492730616,0,0,-0.368441036448852,0,0,-0.566355133479616,0.285835599882463,-0.0438024964993257,0,0,0,-0.377726320863057,0,-0.346007396430741,0,0,0,0,0.0252954165868584,0,0,0,0.228990572236174,0,0,0.294512470713185,0.378893597412059,0,0,0,0,-0.340519401892198,0,0.477859576671981,0,0,0,0,0,-0.27569739927527,0,0,-0.3626704284622,0,0,0.290171775074143,0.376736198586515,-0.202725032686411,-0.0251098230377662,0,0,0.217381117877087,0,0.404743762554165,0,0,0,0,0,0.051150467560056,0,0,0.284609514644437,0,0,-0.226513498634523,-0.158190417882675,0,-0.0243137546533383,0,0,-0.34027222201979,0,-0.316198714228052,0,0,0,0,0,0.0246763464608089,0,0,-0.287104180765181
"4",0,0,0,0.382470638014274,0,-0.0812106618586056,0,0,0,0,0,0,0,0,0,0.1928409469222,0,0,0,0.398491290274226,0,0,0,0.341923657588794,0,-0.200160540003127,0,0,0,0,0,0,-0.0380825632409165,0,0,0,0,0,0,-0.390199217321587,0,0,0,0.349966845550516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283377616769772,0,0,0,-0.493084935696206,0,-0.0461356669424336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304414443957182,0,0,0.020100233296799,0.336132960371311,0,-0.0691577790982971,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262646510544652
"5",0,0,0,0.320134447430985,0.244601048591275,0,0,-0.14311552054026,0,0.0849367930928835,0,0,0,0,0,0,0,0.259980360856663,0,0,0,0,0,0.305701301556795,-0.333924531596502,0,0,-0.168255344709311,0,0,0,0,0.0228223548005626,0,0,0,0,0.337695378120778,0,0,0,0,0,0.327573108920631,0.0312786930404063,0,0,0,0,0,0,0,0,0.152957660805801,0,0,0,-0.323904497221556,-0.0959844667278481,0,0,0,0,-0.323540060137417,-0.292787133446616,0,0,0,0,0,0,0,0,0.0237806761884082,0,0,0,0.230052114967977,0,0,0,0,0,0.42799427485398,0.317023180267663,0,0,0,0,0,0,0,0,0.0376918453790831,0,0,0,0.306112018609176,0,0
"6",0,-0.0486863815044166,0,0,0,0.292922731013077,0,0.0342609386114191,0,0,0,0.0532926759243688,-0.224465061620094,0,0,0,0,0,0,0,0,0.0313368438760482,0,0,0,0.136970011196943,0,-0.0781576182957747,0,0,0,0,0.029539005583352,0,0,0.227672571353247,0,0,0,0,0,0.153673006574972,0,0,0,-0.132728876338792,0,0,0,0,0,0,-0.0201764142052317,0.0234353266810567,0,-0.0262196782374832,0,0,0,0,0,-0.0270633917876109,0,0,0,0.280860735869428,0,0,0,0,0,0,0,-0.128326575806719,0,0,0,0,0,0,0,0.032700724725626,0,0,0,0.44853785277748,0,0.0297070299012277,0,0,0,0.0423282565554563,0,-0.0308493831530117,0,0,0,0,0,0
"7",0,0,-0.0245080358159834,0,0,0,0.142171411327974,0.250132235156122,0,-0.0512012308513785,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203920340779962,0,0,0,-0.0920867700108571,0.416395402980703,0,-0.0315647594075449,0,0,0,0,0,0,0,0,0,0,0,-0.0205665372036596,0.0424713701257787,0,0,0,0.0667468521198219,0.218351900172814,0,-0.0412272325654813,-0.0220130642842617,0,0,0,0,0,0,0,0,0,-0.0377272548687257,0,0,0,0,0,-0.061548240208731,-0.300361861195335,0,0.0413276003015368,-0.124090291527161,0,0,0,0,0,0,0,0,0,0,0,-0.182610951551102,0,0,0,0.0316820652007155,-0.266432175211222,0,-0.253030731175796,-0.0266048460070098,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,-0.233401050128207,0,0,0,0.0265283320076607,-0.0588609390304719,0,-0.0354795978397553,0.0525207511170333,0,0,0,0,0,0,0,0,0,0,0,0.189978188092524,0,0,0,-0.0435194538932142,-0.0727078091770367,0,-0.0443660131058285,0,0,0,0,0,0,0,0,0,0,0,0,-0.321589185244823,0,0,0,0.0473451153061977,0,0,0,-0.0255777880565845,0,0,0,0,0,0,0,0,0,0,0,-0.333360256614396,0,0,0,0.213620941642041,0.0815891275002168,0,0.0356474028305404,-0.194416543825144,0,0,0,0,0,0,0,0,0,0,0,0.195354142853171,0,0,0,0.035166465019471,0.0380563709400218,0,0.278048653686367,0,0,0,0,0
"9",0,0,0,0,0,0,-0.34676348378118,0,0.223418555969331,0,0,0,-0.256479210815506,0,0,0,0.212235235754913,0,0,0,0,0,0,0,0,0,-0.318243429272463,0,0.343875788850933,0,0,0,0.285260470473017,0,0,0,-0.257139083555483,0,0,0,0,0,0,0,0,0,-0.0824155964430972,0.0897372634398128,0.0461721848088607,0,0,0,0.31601431567129,0,0,0,0.382694142994691,0,0,0,0,0,0,0,0,0,0.112252584172601,0.0762141662967718,-0.123355299591533,0,0,0,-0.267748195315015,0,0,0,-0.420322322142524,0,0,0,0,0,0,0,0,0,-0.422783358099008,0.162174821935624,0.166887318993667,0,0,0,-0.280763362310569,0,0,0,-0.391154270440142,0,0,0
"10",0,0,0.0364397488289113,0,0,0,0,0,0.0570550829884182,0.141669576694157,0,0,0,0,0,-0.394444151197235,0,-0.0640900525410174,-0.031177203737768,0,0,0.0220785191161343,0,0,0,0,0,0,0,-0.266864019215185,0,0,0,0,0,0.297362017498475,0,0.190145490574839,0.268360606275753,0,0,0.0961247700875328,0.0226008960446758,0,0,-0.0475248583137858,0,0,0,-0.518392204819024,0,0,0,0,0,-0.358994138208122,0.0522982983239196,-0.0710620593521985,0.0601955646488736,0,0,0,0.0238259329938395,0,0,0,0,0,0,-0.0257375891895228,0,0,0,0,0,0.39894811970003,0,-0.0303957972147249,-0.0745338685041222,0,0,0.277074951458441,0.145401769552311,0,0,-0.020959392045517,0,0,-0.0686645118782741,-0.606459457144224,0,0,0,0,0,-0.477621778862494,0.0234907779582182,-0.060335566571986,0.120264537631497,0
