"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X16.2","X17.2","X18.2","X19.2","X20.2","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3","X13.3","X14.3","X15.3","X16.3","X17.3","X18.3","X19.3","X20.3","X1.4","X2.4","X3.4","X4.4","X5.4","X6.4","X7.4","X8.4","X9.4","X10.4","X11.4","X12.4","X13.4","X14.4","X15.4","X16.4","X17.4","X18.4","X19.4","X20.4"
"1",0.0305253398063765,0,0,0.0583025034059547,0,0.421697493651065,-0.0364720702984009,0,0,0,0,0,0,0,0,0,0,0,0,-0.393515129126998,0.473443385110404,0,0,0,0,0.203190205885149,0,0,0,0,0,0,0,0,0,-0.183993007431436,0,0,0,0.380512402686274,0.108143827804152,0,0,0,0,0.238604083308138,-0.0531627473356026,0,0,0,0,0,0,0,0,-0.0420437115125675,0,0,0,-0.282538589481413,0.446167299414598,0,0,0.213101471148047,0,-0.161755296373067,0,0,0,0,0,0,0,0,0,-0.0605415551336914,0,0,0,0.23798307897723,0.0916217979061637,0,0,-0.0362593363293468,0,0.222946141531009,0.0333531546026838,0,0,0,0,0,0,0,0,0,0,0,0,0.262708798240776
"2",0,0.531408195457002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375092311112743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.613822228621002,0,0,0,0,0,0,0,0,0,0,0,0,-0.190340944231364,0,0,0,0,0,0,0.123909113031738,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246481715571305,0,0,0,0,0,0,0.305628591240504,0,0,0,0,0,0,0,0,0,0,0,0,0.0492444316499305,0,0,0,0,0
"3",0,0,-0.183216100804145,0,0,0,0,-0.225472634705217,0,0,0,0,0,0,0,0,0,-0.222516558958222,0,0,0,0,0.578265019259574,0,0,0,0,0.259667225737184,0,0,0.0294800460908935,0,-0.0659252772925582,0,0,0,0,-0.221258705315223,0,0,0,0,0.176623006925187,0,0,0,0,0.196032892776853,0,0,0,0,0,0,0,0,0,0.338531389921936,0,0,0,0,0.383409100591452,0,0,0,0,-0.0964749058449935,0,0,0,0,0.140487111511468,0,0,0,0,0.313628854385998,0,0,0,0,0.124274382009111,0,0,0,0,-0.194997974837007,0,0,0,0,0.0223343214318126,0,0,0,0,-0.27060066371458,0,0
"4",0,0.0433767799964119,0,0.0947483623820128,0,0,0,0,0,0.0299344860508657,-0.0285270195019236,-0.107689174923591,0.250361612578074,0.158038137881697,0,-0.166629614716381,0,0,0,0,0,0.0861597693047239,0,-0.365453565426177,0,0,0,0,0,0,0,0.0603944096626963,0.273232799864819,-0.353354463834095,0,0.034554963234371,0,0,0,0,0,0.0332348634833956,0,-0.514858553719247,0,0,0,0,0,0,0.0690687473295367,-0.0258997580706277,0.3489354321823,0.194867559693323,0,0.0311482053108489,0,0,0,0,0,-0.0528769400649227,0,0,0,0,0,0,0,0,0,-0.0514122715446673,-0.354254850479078,-0.328522404720648,0,-0.0270054737461709,0,0,0,0,0,-0.0337884207797027,0,-0.392420039427136,0,0,0,0,0,0,0.0572509534724005,0.356613495459139,-0.35160643522724,0.205833759712995,0,0,0,0,0,0
"5",0,0,-0.248148713216722,0,-0.029007770061522,0,0,0,0,0,-0.309664786143117,0,0,0,0,0,0,0,0,0,0,0,0.266043205174217,0,-0.50487749966648,0,0,0,0,0,-0.253889051683076,0,0,0,0,0,0,0,0,0,0,0,-0.285148365559614,0,-0.487439158793886,0,0,0,0,0,0.307827482994365,0,0,0,0,0,0,0.026726234210003,0,0,0,0,0.308235710517572,0,0.112686588582207,0,0,0,0,0,0.22217272428098,0,0,0,0,0,0,0,0,0,0,0,-0.227598075842387,0,0.0249354984451268,0,0,0,0,0,-0.346323020747966,0,0,0,0,0,0,-0.0212340408350096,0,0
"6",0,0,0,0,0,0.323392069265206,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46743644586284,0,0,0,0,0,0.147013490735416,0,0,0,0,-0.0250308170470231,0,0,0,0,0,0,0,0,-0.323759118653266,0,0,-0.213373503223848,0,0,-0.505766087809981,0,0,0,0,0,0,0,0,0,0,0,0.0318567428674805,0,0.434527554912293,0,0,0,0,0,-0.407798862634101,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.352496532689976,0,0,0.0338384489576296,0,0,-0.287939365419412,0,0,0,0,0.243486277265238,0,0,0,0,0,-0.0208877340289479,0,0,0.390929007547041
"7",0.0415651186672864,0,-0.100646331546255,0,0.321310163645159,0,-0.407332893123416,0,0,0,0,0,0,-0.197912381247039,0,0,0,0,0,0.503853981428396,0.0546295620498465,0,-0.0551646393596612,0,-0.273338477309566,0,-0.0452139381427885,0,0,0,0,0,0,0.259510298992888,0,0,0,0,0,-0.267878069869346,-0.0308906145411246,0,0.183044767101543,0,-0.266894527388427,0,0.140277802642455,0,0,0,0,0,0,-0.31374299753756,0,0,0,0,0,-0.329711109123222,0.0246955089349354,0,0,0,0.395813248640909,0,0.0859409103980345,0,0,0,0,0,0,-0.279549167853425,0,0,0,0,0,0.321933836757609,0,0,0,0,-0.37683092044396,0,-0.505224369327961,0,0,0,0,0,0,-0.218273403968651,0,0,0,0,0,0.424146771782932
"8",0,0,0,0,0,0,0,-0.0807606982379918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28119143507424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266059149459084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174844068565367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28480720441396,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,-0.0796799941072387,0,0,-0.310964601035712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.430373273919766,0,0,-0.227523580210438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102421910053941,0,0,-0.316097739604234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402892889904535,0,0,0.40396692510936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.341552057775413,0,0,0.282273734226072,0,0,0,0,0,0,0,0
"10",0,0,0,0,-0.0336101238878033,0.285680921414635,0,0,-0.339825515073466,0.322069612202394,0,0,0,0,-0.045463022601037,0,0,0,-0.0315328255721922,0,0,0,0,0,0,-0.444647220437186,0,0,-0.200672602753556,0,-0.28970128784923,0,0,0,0.0421959385705956,0,0,0,0,0,0,0,0,0,0,0.275721033685877,0,0,-0.224894778527446,-0.073555519706359,-0.0354750334326363,0,0,0,0.101473249324379,0,0,0,0,0,0,0,0,0,0,0.273934621384724,0,0,-0.316269980797869,0.171679999973208,0,0,0,0,0.021203057953563,0,0,0,0,0,0,0,0,0,-0.0253929883078488,-0.354288168822562,0,0,-0.359001520877604,-0.455777522347294,0,0,0,0,0.0236556368786907,0,0,0,0,0
